POS_X,POS_Y,Speed
129.166,-57.7694,17.1848
129.179,-58.7321,17.305
129.192,-59.7068,17.4253
129.206,-60.6848,17.5447
129.219,-61.6704,17.6638
129.233,-62.6429,17.7801
129.248,-63.7519,17.9114
129.261,-64.752,18.0285
129.275,-65.7622,18.1457
129.289,-66.7752,18.2621
129.303,-67.7821,18.3768
129.317,-68.8172,18.4936
129.331,-69.8389,18.6078
129.345,-70.8754,18.7228
129.359,-71.9156,18.8371
129.374,-72.9617,18.9471
129.382,-74.0335,19.0614
129.389,-75.0849,19.1742
129.395,-76.143,19.2868
129.4,-77.1975,19.3982
129.403,-78.273,19.5108
129.405,-79.3436,19.6221
129.406,-80.424,19.7336
129.407,-81.5178,19.8455
129.407,-82.6124,19.9567
129.408,-83.7022,20.0665
129.408,-84.8298,20.1158
129.408,-85.9395,20.0773
129.408,-87.0681,19.9384
129.408,-88.1734,19.66
129.408,-89.2767,19.2845
129.408,-90.3683,18.9145
129.408,-91.4162,18.6307
129.408,-92.4459,18.3631
129.408,-93.4565,18.0873
129.408,-94.4615,17.8012
129.408,-95.437,17.5128
129.408,-96.4033,17.2173
129.408,-97.3295,16.925
129.408,-98.2824,16.6156
129.407,-99.1958,16.3107
129.407,-100.101,16.0008
129.407,-100.997,15.6861
129.407,-101.861,15.3761
129.406,-102.712,15.0635
129.402,-103.545,14.7504
129.398,-104.361,14.4491
129.393,-105.161,14.1314
129.388,-105.971,13.7476
129.383,-106.737,13.389
129.377,-107.478,13.0104
129.371,-108.198,12.7382
129.365,-108.9,12.5519
129.36,-109.588,12.3539
129.354,-110.267,12.1646
129.348,-110.935,11.9837
129.342,-111.598,11.809
129.337,-112.259,11.6399
129.331,-112.901,11.4805
129.325,-113.537,11.3267
129.32,-114.155,11.1816
129.315,-114.784,11.0379
129.309,-115.386,10.9044
129.304,-115.992,10.7732
129.299,-116.588,10.6478
129.293,-117.182,10.526
129.281,-117.783,10.4024
129.258,-118.357,10.2808
129.218,-118.928,10.1546
129.158,-119.494,10.0211
129.074,-120.051,9.91717
128.97,-120.603,9.75405
128.835,-121.129,9.59522
128.667,-121.646,9.45515
128.474,-122.138,9.32439
128.251,-122.615,9.2094
127.993,-123.077,9.10715
127.706,-123.508,9.02111
127.383,-123.921,8.95083
127.033,-124.302,8.8967
126.656,-124.653,8.86325
126.247,-124.978,8.8595
125.818,-125.271,8.92116
125.346,-125.559,9.02595
124.86,-125.839,9.07228
124.379,-126.104,9.07005
123.883,-126.361,9.05154
123.379,-126.601,9.20536
122.845,-126.838,9.38995
122.289,-127.056,9.55285
121.699,-127.252,9.69221
121.079,-127.422,9.82483
120.409,-127.55,9.97894
119.712,-127.638,10.1594
118.93,-127.686,10.3557
118.154,-127.692,10.614
117.325,-127.681,10.8446
116.461,-127.664,11.1082
115.575,-127.64,11.3293
114.686,-127.613,11.5936
113.771,-127.584,11.8015
112.833,-127.554,12.0605
111.879,-127.524,12.265
110.915,-127.502,12.4935
109.95,-127.496,12.5379
109.002,-127.489,12.5468
108.068,-127.485,12.7021
107.111,-127.482,12.9406
106.134,-127.48,13.1675
105.137,-127.479,13.3909
